LINK,sector,name,code
https://www.moneycontrol.com/india/stockpricequote/shipping/greateasternshippingcompany/GES,shipping,GES,greateasternshippingcompany
https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/getdindia/ATD,powertransmissionequipment,ATD,getdindia
https://www.moneycontrol.com/india/stockpricequote/diversified/generalinsurancecorporationindia/GIC12,diversified,GIC12,generalinsurancecorporationindia
https://www.moneycontrol.com/india/stockpricequote/financehousing/gichousingfinance/GIC,financehousing,GIC,gichousingfinance
https://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22,personalcare,GI22,gilletteindia
https://www.moneycontrol.com/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04,foodprocessing,GSC04,glaxosmithklineconsumerhealthcare
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,pharmaceuticals,GSK,glaxosmithklinepharmaceuticals
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,pharmaceuticals,GP08,glenmarkpharma
https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/gmmpfaudler/GMM01,engineeringheavy,GMM01,gmmpfaudler
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/gmrinfrastructure/GI27,infrastructuregeneral,GI27,gmrinfrastructure
https://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratnarmadavalleyfertilizerschemicals/GNV,fertilisers,GNV,gujaratnarmadavalleyfertilizerschemicals
https://www.moneycontrol.com/india/stockpricequote/cigarettes/godfreyphillipsindia/GPI,cigarettes,GPI,godfreyphillipsindia
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/godrejagrovet/GA03,miscellaneous,GA03,godrejagrovet
https://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP,personalcare,GCP,godrejconsumerproducts
https://www.moneycontrol.com/india/stockpricequote/personalcare/godrejindustries/GI23,personalcare,GI23,godrejindustries
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/godrejproperties/GP11,constructioncontractingrealestate,GP11,godrejproperties
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granulesindia/GI25,pharmaceuticals,GI25,granulesindia
https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/graphiteindia/GI13,electrodesgraphite,GI13,graphiteindia
https://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01,diversified,GI01,grasimindustries
https://www.moneycontrol.com/india/stockpricequote/engines/greavescotton/GC20,engines,GC20,greavescotton
https://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN,abrasives,GN,grindwellnorton
