Link,Market Cap (Rs Cr.),P/E,Book Value (Rs),Dividend (%),Market Lot,Industry P/E,EPS (TTM),P/C,Price/Book,Dividend Yield.(%),Face Value (RS),Deliverables (%)
https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/tatamotors/TM03,"26,611.51",-,71.55,0.00,1,13.10,-,33.8,1.20,-,2.00,"
 

DELIVERY AVERAGES (%)



3-Day
12.01


5-Day
12.76


8-Day
15.36





11.05
"
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/tatapowercompany/TPC,"7,695.08",15.03,52.46,130.00,1,8.63,1.89,6.71,0.54,4.57,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
39.19


5-Day
39.73


8-Day
40.48





39.63
"
https://www.moneycontrol.com/india/stockpricequote/steellarge/tatasteel/TIS,"30,848.92",3.19,625.26,130.00,1,4.00,85.86,2.29,0.44,4.75,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
72.91


5-Day
73.64


8-Day
65.13





75.77
"
https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/tcnsclothingco/TCC,"2,440.55",18.23,100.63,0.00,1,19.48,20.48,15.5,3.95,-,2.00,"
 

DELIVERY AVERAGES (%)



3-Day
77.83


5-Day
78.47


8-Day
76.35





48.19
"
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/tataconsultancyservices/TCS,"731,321.02",21.99,198.19,7300.00,1,18.35,88.64,20.34,9.83,3.75,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
30.57


5-Day
32.51


8-Day
38.06





30.13
"
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/teamleaseservices/TS13,"2,566.91",26.44,309.37,0.00,1,23.05,56.99,25.64,4.85,-,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
51.59


5-Day
74.76


8-Day
65.67





55.58
"
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/techmahindra/TM4,"51,470.93",11.36,230.61,300.00,1,18.35,46.95,9.9,2.31,2.81,5.00,"
 

DELIVERY AVERAGES (%)



3-Day
47.83


5-Day
49.87


8-Day
49.01





51.82
"
https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/tejasnetworks/TN,316.28,-,116.74,0.00,1,2.11,-,-,0.29,-,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
85.46


5-Day
84.17


8-Day
84.32





98.98
"
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/thermax/T,"8,340.94",29.31,229.60,350.00,1,13.35,23.97,24.93,3.05,1.00,2.00,"
 

DELIVERY AVERAGES (%)



3-Day
49.82


5-Day
55.98


8-Day
45.53





43.24
"
https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/thyrocaretechnologies/TT16,"2,707.34",22.81,85.54,200.00,1,55.13,22.4,20.33,5.99,3.90,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
58.23


5-Day
65.80


8-Day
61.50





56.82
"
https://www.moneycontrol.com/india/stockpricequote/packaging/timetechnoplast/TT03,682.96,5.35,60.14,90.00,1,11.06,5.6,3.12,0.50,2.98,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
69.08


5-Day
62.77


8-Day
60.16





61.03
"
https://www.moneycontrol.com/india/stockpricequote/bearings/timkenindia/TI23,"6,299.57",26.1,178.25,10.00,1,25.74,32.18,19.66,4.70,0.12,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
30.66


5-Day
62.73


8-Day
63.19





50.04
"
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01,"75,222.12",51.64,69.63,500.00,1,46.37,16.39,47.13,12.17,0.59,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
29.20


5-Day
24.35


8-Day
26.57





32.11
"
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/tatamotorsltddvr/TATAM57000,"10,394.46",10.59,71.55,0.00,1,13.10,3.4,14.12,0.50,-,2.00,"
 

DELIVERY AVERAGES (%)



3-Day
27.69


5-Day
29.01


8-Day
32.20





27.06
"
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06,"41,324.19",44.26,296.37,340.00,1,35.58,55.25,27.33,8.24,0.70,5.00,"
 

DELIVERY AVERAGES (%)



3-Day
37.03


5-Day
33.53


8-Day
29.75





39.15
"
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/torrentpower/TP14,"14,401.68",9.69,185.94,50.00,1,8.63,30.94,5.44,1.61,1.67,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
26.73


5-Day
25.58


8-Day
23.86





24.15
"
https://www.moneycontrol.com/india/stockpricequote/retail/trent/T04,"15,945.39",95.06,47.80,130.00,1,42.00,4.72,74.41,9.38,0.29,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
52.37


5-Day
59.53


8-Day
68.46





46.24
"
https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/trident/AI01,"2,374.72",6.04,5.75,30.00,1,6.42,0.77,3.12,0.81,6.44,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
46.35


5-Day
44.57


8-Day
50.62





47.13
"
https://www.moneycontrol.com/india/stockpricequote/domesticappliances/ttkprestige/TTK02,"6,637.05",29.63,723.95,300.00,1,29.18,159.77,26.52,6.61,0.63,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
45.49


5-Day
63.61


8-Day
65.19





37.00
"
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tvtodaynetwork/TVT,"1,102.97",8.36,140.17,45.00,1,13.66,21.98,6.75,1.32,1.22,5.00,"
 

DELIVERY AVERAGES (%)



3-Day
72.88


5-Day
75.22


8-Day
75.18





73.36
"
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tv18broadcast/IBN,"3,934.43",176.54,16.21,0.00,1,13.66,0.13,48.83,1.42,-,2.00,"
 

DELIVERY AVERAGES (%)



3-Day
39.11


5-Day
40.84


8-Day
46.93





42.96
"
https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/tvsmotorcompany/TVS,"16,129.21",24.63,70.46,350.00,1,15.12,13.73,15.28,4.82,1.03,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
18.92


5-Day
19.01


8-Day
21.87





18.59
"
https://www.moneycontrol.com/india/stockpricequote/tyres/tvssrichakra/TVS03,818.54,10.81,970.54,400.00,1,17.30,99.18,5.17,1.10,3.74,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
21.79


5-Day
24.65


8-Day
31.65





22.49
"
https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/ucobank/UCO,"11,227.56",-,16.07,0.00,1,93.68,-,-,0.70,-,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
48.67


5-Day
50.15


8-Day
50.80





45.36
"
